x_index,y_index,x_min_m,x_max_m,x_center_m,y_min_m,y_max_m,y_center_m,assert_count,yield_count,total_count,p_assert,masked
57,1,1.7000000000000002,1.8000000000000007,1.7500000000000004,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
58,1,1.8000000000000007,1.9000000000000004,1.8500000000000005,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
59,1,1.9000000000000004,2.0,1.9500000000000002,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
60,1,2.0,2.1000000000000005,2.0500000000000003,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
61,1,2.1000000000000005,2.2,2.1500000000000004,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
62,1,2.2,2.3000000000000007,2.2500000000000004,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
63,1,2.3000000000000007,2.4000000000000004,2.3500000000000005,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
64,1,2.4000000000000004,2.5,2.45,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
65,1,2.5,2.6000000000000005,2.5500000000000003,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
66,1,2.6000000000000005,2.7,2.6500000000000004,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
67,1,2.7,2.8000000000000007,2.7500000000000004,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
68,1,2.8000000000000007,2.9000000000000004,2.8500000000000005,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
69,1,2.9000000000000004,3.0,2.95,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
70,1,3.0,3.1000000000000005,3.0500000000000003,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
71,1,3.1000000000000005,3.2,3.1500000000000004,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
72,1,3.2,3.3000000000000007,3.2500000000000004,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
73,1,3.3000000000000007,3.4000000000000004,3.3500000000000005,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
74,1,3.4000000000000004,3.5,3.45,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
75,1,3.5,3.6000000000000005,3.5500000000000003,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
76,1,3.6000000000000005,3.7,3.6500000000000004,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
77,1,3.7,3.8000000000000007,3.7500000000000004,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
78,1,3.8000000000000007,3.9000000000000004,3.8500000000000005,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
79,1,3.9000000000000004,4.0,3.95,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
0,2,-4.0,-3.9,-3.95,-3.8,-3.7,-3.75,0,0,0,,1
1,2,-3.9,-3.8,-3.8499999999999996,-3.8,-3.7,-3.75,0,0,0,,1
2,2,-3.8,-3.7,-3.75,-3.8,-3.7,-3.75,0,0,0,,1
3,2,-3.7,-3.6,-3.6500000000000004,-3.8,-3.7,-3.75,0,0,0,,1
4,2,-3.6,-3.5,-3.55,-3.8,-3.7,-3.75,0,0,0,,1
5,2,-3.5,-3.4,-3.45,-3.8,-3.7,-3.75,0,0,0,,1
6,2,-3.4,-3.3,-3.3499999999999996,-3.8,-3.7,-3.75,0,0,0,,1
7,2,-3.3,-3.2,-3.25,-3.8,-3.7,-3.75,0,0,0,,1
8,2,-3.2,-3.1,-3.1500000000000004,-3.8,-3.7,-3.75,0,0,0,,1
9,2,-3.1,-3.0,-3.05,-3.8,-3.7,-3.75,0,0,0,,1
10,2,-3.0,-2.9,-2.95,-3.8,-3.7,-3.75,0,0,0,,1
11,2,-2.9,-2.8,-2.8499999999999996,-3.8,-3.7,-3.75,0,0,0,,1
12,2,-2.8,-2.7,-2.75,-3.8,-3.7,-3.75,0,0,0,,1
13,2,-2.7,-2.5999999999999996,-2.65,-3.8,-3.7,-3.75,0,0,0,,1
14,2,-2.5999999999999996,-2.5,-2.55,-3.8,-3.7,-3.75,0,0,0,,1
15,2,-2.5,-2.4,-2.45,-3.8,-3.7,-3.75,0,0,0,,1
16,2,-2.4,-2.3,-2.3499999999999996,-3.8,-3.7,-3.75,0,0,0,,1
17,2,-2.3,-2.2,-2.25,-3.8,-3.7,-3.75,0,0,0,,1
18,2,-2.2,-2.0999999999999996,-2.15,-3.8,-3.7,-3.75,0,0,0,,1
19,2,-2.0999999999999996,-2.0,-2.05,-3.8,-3.7,-3.75,0,0,0,,1
20,2,-2.0,-1.9,-1.95,-3.8,-3.7,-3.75,0,0,0,,1
21,2,-1.9,-1.7999999999999998,-1.8499999999999999,-3.8,-3.7,-3.75,0,0,0,,1
22,2,-1.7999999999999998,-1.6999999999999997,-1.7499999999999998,-3.8,-3.7,-3.75,0,0,0,,1
23,2,-1.6999999999999997,-1.5999999999999996,-1.6499999999999997,-3.8,-3.7,-3.75,0,0,0,,1
24,2,-1.5999999999999996,-1.5,-1.5499999999999998,-3.8,-3.7,-3.75,0,0,0,,1
25,2,-1.5,-1.4,-1.45,-3.8,-3.7,-3.75,0,0,0,,1
26,2,-1.4,-1.2999999999999998,-1.3499999999999999,-3.8,-3.7,-3.75,0,0,0,,1
27,2,-1.2999999999999998,-1.1999999999999997,-1.2499999999999998,-3.8,-3.7,-3.75,0,0,0,,1
28,2,-1.1999999999999997,-1.0999999999999996,-1.1499999999999997,-3.8,-3.7,-3.75,0,0,0,,1
29,2,-1.0999999999999996,-1.0,-1.0499999999999998,-3.8,-3.7,-3.75,0,0,0,,1
30,2,-1.0,-0.8999999999999999,-0.95,-3.8,-3.7,-3.75,0,0,0,,1
31,2,-0.8999999999999999,-0.7999999999999998,-0.8499999999999999,-3.8,-3.7,-3.75,0,0,0,,1
32,2,-0.7999999999999998,-0.6999999999999997,-0.7499999999999998,-3.8,-3.7,-3.75,0,0,0,,1
33,2,-0.6999999999999997,-0.5999999999999996,-0.6499999999999997,-3.8,-3.7,-3.75,0,0,0,,1
34,2,-0.5999999999999996,-0.5,-0.5499999999999998,-3.8,-3.7,-3.75,0,0,0,,1
35,2,-0.5,-0.3999999999999999,-0.44999999999999996,-3.8,-3.7,-3.75,0,0,0,,1
36,2,-0.3999999999999999,-0.2999999999999998,-0.34999999999999987,-3.8,-3.7,-3.75,0,0,0,,1
37,2,-0.2999999999999998,-0.19999999999999973,-0.24999999999999978,-3.8,-3.7,-3.75,0,0,0,,1
38,2,-0.19999999999999973,-0.09999999999999964,-0.1499999999999997,-3.8,-3.7,-3.75,0,0,0,,1
39,2,-0.09999999999999964,0.0,-0.04999999999999982,-3.8,-3.7,-3.75,0,0,0,,1
40,2,0.0,0.10000000000000053,0.050000000000000266,-3.8,-3.7,-3.75,0,0,0,,1
41,2,0.10000000000000053,0.20000000000000018,0.15000000000000036,-3.8,-3.7,-3.75,0,0,0,,1
